"Pegelkennziffer","Pegelname","Datum","Wasserstand","Durchfluss","Flussgebiet"
"551208","Friedrichstadt","05.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.09.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.09.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.09.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.09.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.09.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.09.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.09.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.09.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.09.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.09.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.09.1999","","2,30","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.09.1999","","1,04","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.09.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.09.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.09.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.09.1999","","1,19","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.09.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.09.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.10.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.10.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.10.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.10.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.10.1999","","0,45","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.10.1999","","0,45","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.10.1999","","0,45","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.10.1999","","0,45","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.10.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.10.1999","","0,74","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.10.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.10.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.10.1999","","0,63","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.10.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.10.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.10.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.10.1999","","0,45","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.10.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","19.10.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","20.10.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","21.10.1999","","0,79","Nebenflüsse der Elbe"
"551208","Friedrichstadt","22.10.1999","","0,85","Nebenflüsse der Elbe"
"551208","Friedrichstadt","23.10.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","24.10.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","25.10.1999","","0,91","Nebenflüsse der Elbe"
"551208","Friedrichstadt","26.10.1999","","0,63","Nebenflüsse der Elbe"
"551208","Friedrichstadt","27.10.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","28.10.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","29.10.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","30.10.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","31.10.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","01.11.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","02.11.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","03.11.1999","","0,68","Nebenflüsse der Elbe"
"551208","Friedrichstadt","04.11.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","05.11.1999","","0,49","Nebenflüsse der Elbe"
"551208","Friedrichstadt","06.11.1999","","0,54","Nebenflüsse der Elbe"
"551208","Friedrichstadt","07.11.1999","","0,58","Nebenflüsse der Elbe"
"551208","Friedrichstadt","08.11.1999","","0,63","Nebenflüsse der Elbe"
"551208","Friedrichstadt","09.11.1999","","0,98","Nebenflüsse der Elbe"
"551208","Friedrichstadt","10.11.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","11.11.1999","","2,08","Nebenflüsse der Elbe"
"551208","Friedrichstadt","12.11.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","13.11.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","14.11.1999","","1,51","Nebenflüsse der Elbe"
"551208","Friedrichstadt","15.11.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","16.11.1999","","1,34","Nebenflüsse der Elbe"
"551208","Friedrichstadt","17.11.1999","","1,42","Nebenflüsse der Elbe"
"551208","Friedrichstadt","18.11.1999","","1,26","Nebenflüsse der Elbe"
